RMMSoftware,Vendor URL
action1,https://action1.com/
ammyadmin,https://ammyadmin.com/
ammyy,https://www.ammyy.com/
anydesk,https://anydesk.com/
anyviewer,https://www.anyviewer.com/
atera,https://atera.com/
chrome remote desktop,https://remotedesktop.google.com/
screenconnect,https://screenconnect.com/
connectwise,https://connectwise.com
dameware,https://dameware.com/
domotz,https://domotz.com/
dwservice,http://dwservice.com/
glavsoft,https://glavsoft.com/
goto resolve,https://gotoresolve.com/
goto,https://www.goto.com/
